iter 2140: loss 1.9304, time 1254.07ms, mfu 21.89%, 1.09 GB
iter 2150: loss 2.1667, time 1256.12ms, mfu 21.93%, 1.09 GB
iter 2160: loss 2.1306, time 1253.00ms, mfu 21.97%, 1.10 GB
iter 2170: loss 1.9356, time 1262.89ms, mfu 22.00%, 1.10 GB
iter 2180: loss 2.0577, time 1251.30ms, mfu 22.04%, 1.11 GB
iter 2190: loss 2.1764, time 1256.72ms, mfu 22.06%, 1.11 GB
iter 2200: loss 2.1340, time 1260.59ms, mfu 22.08%, 1.12 GB
iter 2210: loss 1.9125, time 1258.63ms, mfu 22.10%, 1.12 GB
iter 2220: loss 1.7040, time 1258.01ms, mfu 22.12%, 1.13 GB
iter 2230: loss 1.9299, time 1259.41ms, mfu 22.13%, 1.13 GB
iter 2240: loss 1.8463, time 1263.71ms, mfu 22.13%, 1.14 GB
iter 2250: loss 1.8032, time 1256.18ms, mfu 22.15%, 1.14 GB
iter 2260: loss 1.7785, time 1250.13ms, mfu 22.18%, 1.15 GB
iter 2270: loss 2.2212, time 1255.27ms, mfu 22.19%, 1.15 GB
iter 2280: loss 1.8260, time 1258.71ms, mfu 22.20%, 1.16 GB
iter 2290: loss 1.9851, time 1258.21ms, mfu 22.21%, 1.16 GB
iter 2300: loss 2.2253, time 1255.15ms, mfu 22.22%, 1.17 GB
iter 2310: loss 1.8630, time 1254.19ms, mfu 22.23%, 1.17 GB
iter 2320: loss 1.9100, time 1259.23ms, mfu 22.23%, 1.18 GB
iter 2330: loss 1.9528, time 1254.39ms, mfu 22.24%, 1.18 GB
iter 2340: loss 2.1930, time 1261.21ms, mfu 22.24%, 1.19 GB
iter 2350: loss 2.0914, time 1257.43ms, mfu 22.25%, 1.19 GB
iter 2360: loss 2.1124, time 1265.02ms, mfu 22.24%, 1.20 GB
iter 2370: loss 2.2160, time 1254.79ms, mfu 22.25%, 1.20 GB
iter 2380: loss 2.0817, time 1259.52ms, mfu 22.25%, 1.21 GB
iter 2390: loss 2.2541, time 1263.12ms, mfu 22.24%, 1.21 GB
step 2400: train loss 2.0202, val loss 2.0508
saving checkpoint to out/r2-tierB-gpt2tok
iter 2400: loss 2.0342, time 5412.10ms, mfu 20.53%, 1.22 GB
iter 2410: loss 1.9122, time 1258.33ms, mfu 20.71%, 1.22 GB
iter 2420: loss 2.1482, time 1252.14ms, mfu 20.88%, 1.23 GB
iter 2430: loss 1.9137, time 1259.78ms, mfu 21.01%, 1.23 GB
iter 2440: loss 2.1332, time 1253.86ms, mfu 21.15%, 1.24 GB
iter 2450: loss 1.8137, time 1260.42ms, mfu 21.25%, 1.24 GB
iter 2460: loss 1.8924, time 1258.32ms, mfu 21.36%, 1.25 GB
iter 2470: loss 2.2153, time 1261.38ms, mfu 21.44%, 1.25 GB
iter 2480: loss 2.1146, time 1256.98ms, mfu 21.53%, 1.26 GB
iter 2490: loss 1.9251, time 1256.35ms, mfu 21.61%, 1.26 GB
iter 2500: loss 2.1339, time 1248.17ms, mfu 21.69%, 1.27 GB
iter 2510: loss 2.1100, time 1265.21ms, mfu 21.74%, 1.27 GB
iter 2520: loss 2.1126, time 1254.06ms, mfu 21.80%, 1.28 GB
iter 2530: loss 1.9296, time 1259.85ms, mfu 21.84%, 1.28 GB
iter 2540: loss 1.8525, time 1260.10ms, mfu 21.88%, 1.29 GB
iter 2550: loss 2.1167, time 1253.67ms, mfu 21.93%, 1.29 GB
iter 2560: loss 1.8059, time 1259.68ms, mfu 21.96%, 1.30 GB
iter 2570: loss 1.9416, time 1256.46ms, mfu 21.99%, 1.30 GB
iter 2580: loss 2.0216, time 1263.28ms, mfu 22.01%, 1.31 GB
iter 2590: loss 2.1255, time 1258.72ms, mfu 22.04%, 1.31 GB
iter 2600: loss 2.0128, time 1264.31ms, mfu 22.05%, 1.32 GB
iter 2610: loss 1.8738, time 1255.89ms, mfu 22.08%, 1.33 GB
iter 2620: loss 1.9665, time 1258.63ms, mfu 22.10%, 1.33 GB
iter 2630: loss 1.7874, time 1257.43ms, mfu 22.12%, 1.34 GB
iter 2640: loss 2.1424, time 1257.63ms, mfu 22.13%, 1.34 GB
iter 2650: loss 1.8552, time 1256.58ms, mfu 22.15%, 1.35 GB
iter 2660: loss 2.0739, time 1257.68ms, mfu 22.16%, 1.35 GB
iter 2670: loss 2.0339, time 1265.67ms, mfu 22.16%, 1.36 GB
iter 2680: loss 2.0224, time 1257.86ms, mfu 22.17%, 1.36 GB
iter 2690: loss 1.9114, time 1242.67ms, mfu 22.21%, 1.37 GB
iter 2700: loss 1.9401, time 1256.66ms, mfu 22.22%, 1.37 GB
iter 2710: loss 2.0864, time 1259.32ms, mfu 22.22%, 1.38 GB
iter 2720: loss 2.1350, time 1258.70ms, mfu 22.23%, 1.38 GB
iter 2730: loss 1.9235, time 1255.47ms, mfu 22.24%, 1.39 GB
iter 2740: loss 1.9450, time 1249.19ms, mfu 22.26%, 1.39 GB
iter 2750: loss 2.1200, time 1255.72ms, mfu 22.26%, 1.40 GB
iter 2760: loss 2.0851, time 1256.46ms, mfu 22.27%, 1.40 GB
iter 2770: loss 2.0739, time 1258.71ms, mfu 22.27%, 1.41 GB
iter 2780: loss 2.0408, time 1259.32ms, mfu 22.26%, 1.41 GB
iter 2790: loss 1.8332, time 1258.37ms, mfu 22.27%, 1.42 GB
step 2800: train loss 1.9952, val loss 2.0482
saving checkpoint to out/r2-tierB-gpt2tok
iter 2800: loss 2.1423, time 5409.92ms, mfu 20.56%, 1.42 GB
iter 2810: loss 1.9772, time 1254.27ms, mfu 20.74%, 1.43 GB
iter 2820: loss 1.9798, time 1261.66ms, mfu 20.88%, 1.43 GB
iter 2830: loss 2.2537, time 1254.23ms, mfu 21.03%, 1.44 GB
iter 2840: loss 2.2502, time 1259.55ms, mfu 21.15%, 1.44 GB
iter 2850: loss 1.8762, time 1253.18ms, mfu 21.27%, 1.45 GB
iter 2860: loss 1.9244, time 1261.36ms, mfu 21.37%, 1.45 GB
iter 2870: loss 1.9109, time 1254.74ms, mfu 21.46%, 1.46 GB
iter 2880: loss 2.0279, time 1260.13ms, mfu 21.54%, 1.46 GB
iter 2890: loss 2.2374, time 1257.08ms, mfu 21.62%, 1.47 GB
iter 2900: loss 1.7820, time 1258.85ms, mfu 21.68%, 1.47 GB
iter 2910: loss 2.0348, time 1258.74ms, mfu 21.74%, 1.48 GB
iter 2920: loss 1.9773, time 1255.51ms, mfu 21.80%, 1.48 GB
iter 2930: loss 1.8984, time 1263.97ms, mfu 21.83%, 1.49 GB
iter 2940: loss 1.8610, time 1252.22ms, mfu 21.89%, 1.49 GB
iter 2950: loss 2.1175, time 1264.08ms, mfu 21.92%, 1.50 GB
iter 2960: loss 2.1067, time 1254.88ms, mfu 21.96%, 1.50 GB
iter 2970: loss 2.3469, time 1261.12ms, mfu 21.98%, 1.51 GB
iter 2980: loss 1.7599, time 1241.35ms, mfu 22.04%, 1.51 GB
iter 2990: loss 2.0026, time 1256.82ms, mfu 22.07%, 1.52 GB
iter 3000: loss 1.8999, time 1256.81ms, mfu 22.09%, 1.52 GB
iter 3010: loss 2.2448, time 1260.15ms, mfu 22.11%, 1.53 GB
iter 3020: loss 1.9471, time 1254.95ms, mfu 22.13%, 1.53 GB
iter 3030: loss 2.3420, time 1264.37ms, mfu 22.13%, 1.54 GB
iter 3040: loss 2.0254, time 1253.25ms, mfu 22.16%, 1.54 GB
iter 3050: loss 1.9182, time 1258.57ms, mfu 22.17%, 1.55 GB
iter 3060: loss 1.9748, time 1262.19ms, mfu 22.17%, 1.55 GB
iter 3070: loss 1.9251, time 1243.06ms, mfu 22.21%, 1.56 GB
iter 3080: loss 1.8932, time 1261.62ms, mfu 22.21%, 1.56 GB
iter 3090: loss 2.0552, time 1256.49ms, mfu 22.22%, 1.57 GB
iter 3100: loss 1.9993, time 1262.38ms, mfu 22.22%, 1.57 GB
iter 3110: loss 1.7203, time 1258.14ms, mfu 22.22%, 1.58 GB
iter 3120: loss 1.9314, time 1258.48ms, mfu 22.23%, 1.58 GB
iter 3130: loss 2.0560, time 1256.80ms, mfu 22.23%, 1.59 GB
iter 3140: loss 2.0741, time 1262.92ms, mfu 22.23%, 1.59 GB
