iter 3020: loss 1.9503, time 1264.62ms, mfu 22.21%, 1.53 GB
iter 3030: loss 2.0710, time 1254.26ms, mfu 22.23%, 1.54 GB
iter 3040: loss 1.8790, time 1253.77ms, mfu 22.24%, 1.54 GB
iter 3050: loss 1.9373, time 1253.65ms, mfu 22.25%, 1.55 GB
iter 3060: loss 1.7764, time 1255.39ms, mfu 22.26%, 1.55 GB
iter 3070: loss 1.9571, time 1254.16ms, mfu 22.27%, 1.56 GB
iter 3080: loss 1.8745, time 1257.53ms, mfu 22.27%, 1.56 GB
iter 3090: loss 2.1934, time 1260.87ms, mfu 22.26%, 1.57 GB
iter 3100: loss 1.9883, time 1256.40ms, mfu 22.27%, 1.57 GB
iter 3110: loss 1.8420, time 1252.56ms, mfu 22.28%, 1.58 GB
iter 3120: loss 2.0393, time 1254.90ms, mfu 22.28%, 1.58 GB
iter 3130: loss 2.1496, time 1250.79ms, mfu 22.30%, 1.59 GB
iter 3140: loss 2.0546, time 1245.90ms, mfu 22.32%, 1.59 GB
